"visa","titre","realisateur","genre","devis","annee"
"153214","Permis de construire","FRATICELLI Eric","fiction","5 345 398","2020"
"153199","Portrait d'une jeune fille qui va bien","KIBERLAIN Sandrine","fiction","3 732 502","2020"
"151446","Promesse de l'invisible","AMIGUET Marie","docu","637 676","2020"
"151578","P'tite Fradette (La)","FRADET Elodie","docu","318 171","2020"
"152785","Quand on sait","CAPPELLIN Emmanuel","docu","436 218","2020"
"153163","Robuste","MEYER Constance","fiction","3 349 194","2020"
"150143","Rosa","SAADA Aurélie","fiction","2 867 135","2020"
"152075","Rosy","BARNERIAS Marine","docu","1 014 554","2020"
"#N/D","Salamandre (La)","CARVALHO DE OLIVEIRA Alexandre","fiction","1 579 799","2020"
"153805","Sam autour du monde","MAURIAT Edouard","docu","388 778","2020"
"145204","Saules aveugles, femme endormie","FOLDES Pierre","animation","6 000 000","2020"
"152717","Sentinelle sud","GERAULT Mathieu","fiction","2 095 722","2020"
"153313","Serpent (Le)","SCHWAB Pierre-Alexandre","fiction","666 345","2020"
"148669","Si on chantait","MARUCA Fabrice","fiction","6 928 292","2020"
"150466","Sous le béton","ARIDA Roy","fiction","147 216","2020"
"149641","Survivants (Les)","RENUSSON Guillaume","fiction","2 165 262","2020"
"150966","Swing rendez-vous","BARRY Gérome","fiction","211 891","2020"
"151228","Tour du monde en 80 jours (Le)","TOURNEUX Samuel","animation","14 477 261","2020"
"148380","Toutes les vies de Kojin ","YAZDANI Diako","docu","211 849","2020"
"153205","Tranchées","BUREAU Loup","docu","455 099","2020"
"152497","Trop d'amour","WALLACH Frankie","fiction","519 990","2020"
"149811","Tropique de la violence","SCHAPIRA Manuel","fiction","2 950 002","2020"
"147511","Une femme du monde","DUCROCQ Cecile","fiction","2 580 000","2020"
"153765","Vacances","DE STAEL Beatrice / WOLFENSTEIN Leo","fiction","1 128 417","2020"
"147828","Vaurien","DOUROUNTZIS Peter","fiction","648 812","2020"
"149637","Vie naturelle du pou (La)","MOUGNE Emmanuelle","fiction","83 541","2020"
"152190","Vieille dame et les visiteurs (La)","PONSIN Camille","docu","468 867","2020"
"152275","Voyage d'Anton (Le)","LOUPAN Mariana","docu","231 757","2020"
"153196","Yulia ou l'espace des possibles","DENIEL-LAURENT Bruno","docu","337 090","2020"
